BDC,Ticker,borrower_clean_name,portfolio_company,industry,investment_scope,amount_unit,q4_report_period,q4_par_or_principal_mm,q4_cost_mm,q4_fair_value_mm,q4_fv_to_cost,q4_markdown_amount_mm,q4_markdown_pct,q4_markdown_event_level,q1_report_period,q1_par_or_principal_mm,q1_cost_mm,q1_fair_value_mm,q1_fv_to_cost,q1_markdown_amount_mm,q1_markdown_pct,q1_markdown_event_level,qoq_fv_to_cost_change,qoq_markdown_event,q4_source_file,q4_source_page,q1_source_file,q1_source_page,q4_source_detail,q1_source_detail,sample_note
Ares Capital Corporation,ARCC,bamboo purchaser,"Bamboo Purchaser, Inc.","Provider of nursery, garden, and greenhouse products",first lien borrower aggregate,$mm,2025-12-31,19.5,7.4,7.0,0.945945945945946,-0.4000000000000003,-0.0540540540540541,0,2026-03-31,21.2,8.2,3.9,0.475609756097561,-4.299999999999999,-0.5243902439024389,1,-0.4703361898483849,1,ARCC 2026 Q1 Form 10-Q; accession 0001628280-26-027688; primary document arcc-20260331.htm,"Dec. 31, 2025 comparative Schedule of Investments in ARCC 2026 Q1 filing",ARCC 2026 Q1 Form 10-Q; accession 0001628280-26-027688; primary document arcc-20260331.htm,"Mar. 31, 2026 Schedule of Investments in ARCC 2026 Q1 filing","Dec. 31, 2025 comparative Schedule of Investments; Bamboo first-lien rows aggregated: principal 4.1 + 15.4 = 19.5; cost 4.1 + 3.3 = 7.4; fair value 4.1 + 2.9 = 7.0.","Mar. 31, 2026 Schedule of Investments; Bamboo first-lien row: principal 21.2; cost 8.2; fair value 3.9.",Clear ARCC Q1 markdown case; Q4 first-lien rows are aggregated to match Q1 borrower-level first-lien row.
Ares Capital Corporation,ARCC,sig parent holdings,"SIG Parent Holdings, LLC",Independent insurance brokerage,first lien,$mm,2025-12-31,19.1,19.1,19.1,1.0,0.0,0.0,0,2026-03-31,19.0,19.0,19.0,1.0,0.0,0.0,0,0.0,0,ARCC 2026 Q1 Form 10-Q; accession 0001628280-26-027688; primary document arcc-20260331.htm,"Dec. 31, 2025 comparative Schedule of Investments in ARCC 2026 Q1 filing",ARCC 2026 Q1 Form 10-Q; accession 0001628280-26-027688; primary document arcc-20260331.htm,"Mar. 31, 2026 Schedule of Investments in ARCC 2026 Q1 filing","Dec. 31, 2025 comparative Schedule of Investments; SIG Parent Holdings first-lien row: principal 19.1; cost 19.1; fair value 19.1.","Mar. 31, 2026 Schedule of Investments; SIG Parent Holdings first-lien row: principal 19.0; cost 19.0; fair value 19.0.",Clean normal comparator.
Ares Capital Corporation,ARCC,anaplan,"Anaplan, Inc.",Provider of cloud-based connected planning platforms,first lien,$mm,2025-12-31,5.8,5.8,5.8,1.0,0.0,0.0,0,2026-03-31,5.8,5.8,5.7,0.9827586206896552,-0.0999999999999996,-0.0172413793103447,0,-0.0172413793103447,0,ARCC 2026 Q1 Form 10-Q; accession 0001628280-26-027688; primary document arcc-20260331.htm,"Dec. 31, 2025 comparative Schedule of Investments in ARCC 2026 Q1 filing",ARCC 2026 Q1 Form 10-Q; accession 0001628280-26-027688; primary document arcc-20260331.htm,"Mar. 31, 2026 Schedule of Investments in ARCC 2026 Q1 filing","Dec. 31, 2025 comparative Schedule of Investments; Anaplan first-lien row: principal 5.8; cost 5.8; fair value 5.8.","Mar. 31, 2026 Schedule of Investments; Anaplan first-lien row: principal 5.8; cost 5.8; fair value 5.7.",Clean first-lien replacement row.
Ares Capital Corporation,ARCC,athenahealth group minerva holdco bcpe co-invest,"AthenaHealth Group Inc., Minerva Holdco, Inc. and BCPE Co-Invest (A), LP",Revenue cycle management provider to physician practices and acute care hospitals,first lien only,$mm,2025-12-31,0.1,0.1,0.1,1.0,0.0,0.0,0,2026-03-31,0.1,0.1,0.1,1.0,0.0,0.0,0,0.0,0,ARCC 2026 Q1 Form 10-Q; accession 0001628280-26-027688; primary document arcc-20260331.htm,"Dec. 31, 2025 comparative Schedule of Investments in ARCC 2026 Q1 filing",ARCC 2026 Q1 Form 10-Q; accession 0001628280-26-027688; primary document arcc-20260331.htm,"Mar. 31, 2026 Schedule of Investments in ARCC 2026 Q1 filing","Dec. 31, 2025 comparative Schedule of Investments; AthenaHealth/Minerva/BCPE first-lien row only: principal 0.1; cost 0.1; fair value 0.1; preferred/equity rows excluded.","Mar. 31, 2026 Schedule of Investments; AthenaHealth/Minerva/BCPE first-lien row only: principal 0.1; cost 0.1; fair value 0.1; preferred/equity rows excluded.",Small row; rounded one-decimal amounts make ratio interpretation cautious.
Ares Capital Corporation,ARCC,auctane,"Auctane, Inc.",Provider of mailing and shipping solutions,first lien,$mm,2025-12-31,143.4,143.4,143.4,1.0,0.0,0.0,0,2026-03-31,143.4,143.4,143.4,1.0,0.0,0.0,0,0.0,0,ARCC 2026 Q1 Form 10-Q; accession 0001628280-26-027688; primary document arcc-20260331.htm,"Dec. 31, 2025 comparative Schedule of Investments in ARCC 2026 Q1 filing",ARCC 2026 Q1 Form 10-Q; accession 0001628280-26-027688; primary document arcc-20260331.htm,"Mar. 31, 2026 Schedule of Investments in ARCC 2026 Q1 filing","Dec. 31, 2025 comparative Schedule of Investments; Auctane first-lien row: principal 143.4; cost 143.4; fair value 143.4.","Mar. 31, 2026 Schedule of Investments; Auctane first-lien row: principal 143.4; cost 143.4; fair value 143.4.",Clean first-lien replacement row.
Blackstone Secured Lending Fund,BXSL,mode purchaser,"Mode Purchaser, Inc.",Air Freight & Logistics,first lien borrower aggregate (two loan rows),$mm,2025-12-31,142.114,141.696,129.323,0.9126792570009034,-12.37299999999999,-0.0873207429990965,0,2026-03-31,142.114,141.785,127.192,0.8970765595796452,-14.593000000000004,-0.1029234404203547,1,-0.0156026974212581,0,BXSL 2026 Q1 Form 10-Q; accession 0001736035-26-000010; uploaded PDF f0cb87a2-e0bd-4243-85e1-5816094738a1.pdf,"PDF page 54; Dec. 31, 2025 schedule; two Mode Purchaser rows",BXSL 2026 Q1 Form 10-Q; accession 0001736035-26-000010; uploaded PDF f0cb87a2-e0bd-4243-85e1-5816094738a1.pdf,"PDF page 11; Mar. 31, 2026 schedule; two Mode Purchaser rows",Q4 cost/fair value: 137.787 + 3.909 / 125.734 + 3.589,Q1 cost/fair value: 137.873 + 3.912 / 123.662 + 3.530,Aggregated two same-borrower first-lien rows to keep borrower-level observation clean.
Blackstone Secured Lending Fund,BXSL,windows acquisition holdings,"Windows Acquisition Holdings, Inc.",Building Products,first lien single row,$mm,2025-12-31,52.75,52.587,43.387,0.8250518188906003,-9.200000000000005,-0.1749481811093997,1,2026-03-31,52.75,52.627,41.145,0.7818230186026185,-11.482,-0.2181769813973815,1,-0.0432288002879818,0,BXSL 2026 Q1 Form 10-Q; accession 0001736035-26-000010; uploaded PDF f0cb87a2-e0bd-4243-85e1-5816094738a1.pdf,"PDF page 55; Dec. 31, 2025 schedule",BXSL 2026 Q1 Form 10-Q; accession 0001736035-26-000010; uploaded PDF f0cb87a2-e0bd-4243-85e1-5816094738a1.pdf,"PDF page 12; Mar. 31, 2026 schedule","Dec. 31, 2025 Schedule of Investments; Windows Acquisition Holdings, Inc. first lien single row: principal/par 52.75; cost/amortized cost 52.587; fair value 43.387 ($mm, source amounts converted when necessary).","Mar. 31, 2026 Schedule of Investments; Windows Acquisition Holdings, Inc. first lien single row: principal/par 52.75; cost/amortized cost 52.627; fair value 41.145 ($mm, source amounts converted when necessary).",Clear below-par first-lien row with modest additional QoQ decline.
Blackstone Secured Lending Fund,BXSL,aci group holdings,"ACI Group Holdings, Inc.",Health Care Providers & Services,first lien borrower aggregate (two loan rows),$mm,2025-12-31,144.554,143.421,115.62,0.8061580940029703,-27.800999999999988,-0.1938419059970296,1,2026-03-31,145.635,143.533,101.546,0.7074749360774178,-41.98699999999998,-0.2925250639225821,1,-0.0986831579255524,1,BXSL 2026 Q1 Form 10-Q; accession 0001736035-26-000010; uploaded PDF f0cb87a2-e0bd-4243-85e1-5816094738a1.pdf,"PDF page 60; Dec. 31, 2025 schedule; two ACI rows",BXSL 2026 Q1 Form 10-Q; accession 0001736035-26-000010; uploaded PDF f0cb87a2-e0bd-4243-85e1-5816094738a1.pdf,"PDF page 18; Mar. 31, 2026 schedule; two ACI rows",Q4 cost/fair value: 132.031 + 11.390 / 106.482 + 9.138,Q1 cost/fair value: 132.134 + 11.399 / 93.594 + 7.952,Aggregated two same-borrower first-lien rows; this is a clear QoQ markdown case.
Blackstone Secured Lending Fund,BXSL,cambium learning group,"Cambium Learning Group, Inc.",Diversified Consumer Services,first lien single row,$mm,2025-12-31,283.227,282.196,275.439,0.9760556492650498,-6.757000000000005,-0.0239443507349501,0,2026-03-31,282.488,281.559,274.013,0.97319922289822,-7.546000000000049,-0.0268007771017799,0,-0.0028564263668297,0,BXSL 2026 Q1 Form 10-Q; accession 0001736035-26-000010; uploaded PDF f0cb87a2-e0bd-4243-85e1-5816094738a1.pdf,"PDF page 58; Dec. 31, 2025 schedule",BXSL 2026 Q1 Form 10-Q; accession 0001736035-26-000010; uploaded PDF f0cb87a2-e0bd-4243-85e1-5816094738a1.pdf,"PDF page 15; Mar. 31, 2026 schedule","Dec. 31, 2025 Schedule of Investments; Cambium Learning Group, Inc. first lien single row: principal/par 283.227; cost/amortized cost 282.196; fair value 275.439 ($mm, source amounts converted when necessary).","Mar. 31, 2026 Schedule of Investments; Cambium Learning Group, Inc. first lien single row: principal/par 282.488; cost/amortized cost 281.559; fair value 274.013 ($mm, source amounts converted when necessary).",Large single first-lien row; useful normal/slightly-below-par comparator.
Blackstone Secured Lending Fund,BXSL,snoopy bidco,"Snoopy Bidco, Inc.",Health Care Providers & Services,first lien single row with PIK component,$mm,2025-12-31,354.71,352.39,339.635,0.963804307727234,-12.754999999999995,-0.0361956922727659,0,2026-03-31,359.588,357.504,338.012,0.9454775331185103,-19.49200000000002,-0.0545224668814894,0,-0.0183267746087235,0,BXSL 2026 Q1 Form 10-Q; accession 0001736035-26-000010; uploaded PDF f0cb87a2-e0bd-4243-85e1-5816094738a1.pdf,"PDF page 61; Dec. 31, 2025 schedule",BXSL 2026 Q1 Form 10-Q; accession 0001736035-26-000010; uploaded PDF f0cb87a2-e0bd-4243-85e1-5816094738a1.pdf,"PDF page 19; Mar. 31, 2026 schedule","Dec. 31, 2025 Schedule of Investments; Snoopy Bidco, Inc. first lien single row with PIK component: principal/par 354.71; cost/amortized cost 352.39; fair value 339.635 ($mm, source amounts converted when necessary).","Mar. 31, 2026 Schedule of Investments; Snoopy Bidco, Inc. first lien single row with PIK component: principal/par 359.588; cost/amortized cost 357.504; fair value 338.012 ($mm, source amounts converted when necessary).",Large PIK first-lien row; useful for later public-signal comparison.
